Company Name,Date,Open,High,Low,Close,Adj Close,Volume,CloseUSD
CMCSA,12/31/1986,2568.300049,2568.300049,2568.300049,2568.300049,2568.300049,0,333.8790064
KMI,1/2/1987,2540.100098,2540.100098,2540.100098,2540.100098,2540.100098,0,330.2130127
INTC,1/5/1987,2552.399902,2552.399902,2552.399902,2552.399902,2552.399902,0,331.8119873
MU,1/6/1987,2583.899902,2583.899902,2583.899902,2583.899902,2583.899902,0,335.9069873
GE,1/7/1987,2607.100098,2607.100098,2607.100098,2607.100098,2607.100098,0,338.9230127
BAC,1/8/1987,2603.300049,2603.300049,2603.300049,2603.300049,2603.300049,0,338.4290064
AAPL,1/9/1987,2561.699951,2561.699951,2561.699951,2561.699951,2561.699951,0,333.0209936
MSFT,1/12/1987,2614.899902,2614.899902,2614.899902,2614.899902,2614.899902,0,339.9369873
SIRI,1/13/1987,2590.800049,2590.800049,2590.800049,2590.800049,2590.800049,0,336.8040064
HPQ,1/14/1987,2578.199951,2578.199951,2578.199951,2578.199951,2578.199951,0,335.1659936
CX,1/15/1987,2559.100098,2559.100098,2559.100098,2559.100098,2559.100098,0,332.6830127
CZR,1/16/1987,2542.600098,2542.600098,2542.600098,2542.600098,2542.600098,0,330.5380127
F,1/19/1987,2460.5,2460.5,2460.5,2460.5,2460.5,0,319.865
AMD,1/20/1987,2449.899902,2449.899902,2449.899902,2449.899902,2449.899902,0,318.4869873
SNAP,1/21/1987,2533.899902,2533.899902,2533.899902,2533.899902,2533.899902,0,329.4069873
FB,1/22/1987,2536.899902,2536.899902,2536.899902,2536.899902,2536.899902,0,329.7969873
WFC,1/23/1987,2499.399902,2499.399902,2499.399902,2499.399902,2499.399902,0,324.9219873
AIG,1/26/1987,2484.399902,2484.399902,2484.399902,2484.399902,2484.399902,0,322.9719873
T,1/27/1987,2524,2524,2524,2524,2524,0,328.12
C,1/28/1987,2553.300049,2553.300049,2553.300049,2553.300049,2553.300049,0,331.9290064
VALE,2/2/1987,2585.199951,2585.199951,2585.199951,2585.199951,2585.199951,0,336.0759936
MS,2/3/1987,2606.399902,2606.399902,2606.399902,2606.399902,2606.399902,0,338.8319873
AKS,2/4/1987,2636.600098,2636.600098,2636.600098,2636.600098,2636.600098,0,342.7580127
JPM,2/5/1987,2672.399902,2672.399902,2672.399902,2672.399902,2672.399902,0,347.4119873
ORCL,2/6/1987,2673.600098,2673.600098,2673.600098,2673.600098,2673.600098,0,347.5680127
NKE,2/9/1987,2713.699951,2713.699951,2713.699951,2713.699951,2713.699951,0,352.7809936
PG,2/10/1987,2694.899902,2694.899902,2694.899902,2694.899902,2694.899902,0,350.3369873
GSM,2/11/1987,2739.5,2739.5,2739.5,2739.5,2739.5,0,356.135
BBD,2/12/1987,2754.699951,2754.699951,2754.699951,2754.699951,2754.699951,0,358.1109936
PFE,2/13/1987,2740.5,2740.5,2740.5,2740.5,2740.5,0,356.265
JD,2/16/1987,2766.100098,2766.100098,2766.100098,2766.100098,2766.100098,0,359.5930127
NOK,2/17/1987,2792.100098,2792.100098,2792.100098,2792.100098,2792.100098,0,362.9730127
TWTR,2/18/1987,2801.5,2801.5,2801.5,2801.5,2801.5,0,364.195
AVGO,2/19/1987,2775.800049,2775.800049,2775.800049,2775.800049,2775.800049,0,360.8540064
AMAT,2/20/1987,2827.399902,2827.399902,2827.399902,2827.399902,2827.399902,0,367.5619873
ZNGA,2/23/1987,2879,2879,2879,2879,2879,0,374.27
XOM,2/24/1987,2848.199951,2848.199951,2848.199951,2848.199951,2848.199951,0,370.2659936
QCOM,2/25/1987,2873.600098,2873.600098,2873.600098,2873.600098,2873.600098,0,373.5680127
VIPS,2/26/1987,2843.600098,2843.600098,2843.600098,2843.600098,2843.600098,0,369.6680127
CSCO,2/27/1987,2877.899902,2877.899902,2877.899902,2877.899902,2877.899902,0,374.1269873
AXP,3/2/1987,2894.300049,2894.300049,2894.300049,2894.300049,2894.300049,0,376.2590064
BMY,3/3/1987,2939.100098,2939.100098,2939.100098,2939.100098,2939.100098,0,382.0830127
V,3/4/1987,2890.899902,2890.899902,2890.899902,2890.899902,2890.899902,0,375.8169873
GRPN,3/5/1987,2798.399902,2798.399902,2798.399902,2798.399902,2798.399902,0,363.7919873
GERN,3/6/1987,2798.600098,2798.600098,2798.600098,2798.600098,2798.600098,0,363.8180127
KEY,3/9/1987,2820.399902,2820.399902,2820.399902,2820.399902,2820.399902,0,366.6519873
RF,3/10/1987,2731.100098,2731.100098,2731.100098,2731.100098,2731.100098,0,355.0430127
KR,3/11/1987,2760.899902,2760.899902,2760.899902,2760.899902,2760.899902,0,358.9169873
HAL,3/12/1987,2750.100098,2750.100098,2750.100098,2750.100098,2750.100098,0,357.5130127
BABA,3/13/1987,2721.199951,2721.199951,2721.199951,2721.199951,2721.199951,0,353.7559936
MRO,3/16/1987,2669.600098,2669.600098,2669.600098,2669.600098,2669.600098,0,347.0480127
GILD,3/17/1987,2629.300049,2629.300049,2629.300049,2629.300049,2629.300049,0,341.8090064
GM,3/18/1987,2724,2724,2724,2724,2724,0,354.12
FCX,3/19/1987,2721.300049,2721.300049,2721.300049,2721.300049,2721.300049,0,353.7690064
CRM,3/20/1987,2780.600098,2780.600098,2780.600098,2780.600098,2780.600098,0,361.4780127
ATVI,3/23/1987,2813.399902,2813.399902,2813.399902,2813.399902,2813.399902,0,365.7419873
SQ,3/24/1987,2828.100098,2828.100098,2828.100098,2828.100098,2828.100098,0,367.6530127
NUE,3/25/1987,2831.5,2831.5,2831.5,2831.5,2831.5,0,368.095
SWN,3/26/1987,2783.100098,2783.100098,2783.100098,2783.100098,2783.100098,0,361.8030127
LOW,3/27/1987,2798.699951,2798.699951,2798.699951,2798.699951,2798.699951,0,363.8309936
RAD,3/30/1987,2774.899902,2774.899902,2774.899902,2774.899902,2774.899902,0,360.7369873
VEON,3/31/1987,2713.800049,2713.800049,2713.800049,2713.800049,2713.800049,0,352.7940064
SLB,4/1/1987,2695.899902,2695.899902,2695.899902,2695.899902,2695.899902,0,350.4669873
